tripduration,starttime,stoptime,start Station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
608,21/09/2015 16:06,21/09/2015 16:16,3196,Riverview Park,40.7443187,-74.0439909,3196,Riverview Park,40.7443187,-74.0439909,24720,Customer,,0
1752,21/09/2015 16:08,21/09/2015 16:37,3195,Sip Ave,40.73074263,-74.06378388,3211,Newark Ave,40.72152515,-74.04630454,24667,Subscriber,1961,1
127,21/09/2015 16:09,21/09/2015 16:11,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24427,Customer,,0
1210,21/09/2015 16:10,21/09/2015 16:30,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,24431,Subscriber,1976,1
375,21/09/2015 16:13,21/09/2015 16:20,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,24481,Subscriber,1982,1
1426,21/09/2015 16:15,21/09/2015 16:39,3216,Columbia Park,40.6970299,-74.0969366,3200,MLK Light Rail,40.7111305,-74.0788855,24547,Subscriber,1948,1
1118,21/09/2015 16:18,21/09/2015 16:37,3198,Heights Elevator,40.74871595,-74.0404433,3186,Grove St PATH,40.71958612,-74.04311746,24500,Subscriber,1951,1
145,21/09/2015 16:23,21/09/2015 16:25,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24387,Subscriber,1976,1
216,21/09/2015 16:26,21/09/2015 16:30,3185,City Hall,40.7177325,-74.043845,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1976,1
703,21/09/2015 16:30,21/09/2015 16:42,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24521,Customer,,0
195,21/09/2015 16:34,21/09/2015 16:37,3198,Heights Elevator,40.74871595,-74.0404433,3196,Riverview Park,40.7443187,-74.0439909,24471,Subscriber,1989,2
515,21/09/2015 16:37,21/09/2015 16:45,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24641,Subscriber,1977,2
362,21/09/2015 16:39,21/09/2015 16:45,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,24687,Subscriber,1973,1
448,21/09/2015 16:41,21/09/2015 16:48,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,24523,Subscriber,1961,1
511,21/09/2015 16:42,21/09/2015 16:51,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,24440,Subscriber,1991,1
287,21/09/2015 16:44,21/09/2015 16:49,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24706,Subscriber,1972,2
1045,21/09/2015 16:47,21/09/2015 17:04,3187,Warren St,40.7211236,-74.03805095,3207,Oakland Ave,40.7376037,-74.0524783,24481,Subscriber,1989,1
5803,21/09/2015 16:47,21/09/2015 18:24,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24409,Customer,,0
5762,21/09/2015 16:48,21/09/2015 18:24,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24604,Customer,,0
1302,21/09/2015 16:49,21/09/2015 17:11,3195,Sip Ave,40.73074263,-74.06378388,3202,Newport PATH,40.7272235,-74.0337589,24490,Customer,,0
2254,21/09/2015 16:55,21/09/2015 17:33,3200,MLK Light Rail,40.7111305,-74.0788855,3195,Sip Ave,40.73074263,-74.06378388,24547,Subscriber,1948,1
954,21/09/2015 16:58,21/09/2015 17:14,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,24440,Subscriber,1964,1
209,21/09/2015 17:01,21/09/2015 17:05,3196,Riverview Park,40.7443187,-74.0439909,3196,Riverview Park,40.7443187,-74.0439909,24471,Subscriber,1987,2
1076,21/09/2015 17:04,21/09/2015 17:21,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24716,Subscriber,1970,1
10127,21/09/2015 17:09,21/09/2015 19:57,3198,Heights Elevator,40.74871595,-74.0404433,3197,North St,40.752559,-74.044725,24627,Customer,,0
10076,21/09/2015 17:09,21/09/2015 19:57,3198,Heights Elevator,40.74871595,-74.0404433,3197,North St,40.752559,-74.044725,24468,Customer,,0
643,21/09/2015 17:09,21/09/2015 17:20,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24536,Subscriber,1987,1
178,21/09/2015 17:10,21/09/2015 17:13,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24439,Subscriber,1981,2
1270,21/09/2015 17:16,21/09/2015 17:37,3183,Exchange Place,40.7162469,-74.0334588,3210,Pershing Field,40.74267714,-74.05178863,24691,Subscriber,1976,1
546,21/09/2015 17:17,21/09/2015 17:27,3202,Newport PATH,40.7272235,-74.0337589,3185,City Hall,40.7177325,-74.043845,24444,Subscriber,1990,1
1132,21/09/2015 17:18,21/09/2015 17:36,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3194,McGinley Square,40.72533993,-74.06762213,24489,Subscriber,1981,1
389,21/09/2015 17:18,21/09/2015 17:24,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24442,Subscriber,1984,1
310,21/09/2015 17:18,21/09/2015 17:23,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24521,Subscriber,1983,2
132,21/09/2015 17:24,21/09/2015 17:26,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24391,Subscriber,1977,1
1111,21/09/2015 17:25,21/09/2015 17:44,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24445,Customer,,0
87733,21/09/2015 17:26,22/09/2015 17:49,3220,5 Corners Library,40.73496102,-74.05950308,3201,Dey St,40.737711,-74.066921,24432,Customer,,0
330,21/09/2015 17:29,21/09/2015 17:34,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24488,Subscriber,1962,1
307,21/09/2015 17:29,21/09/2015 17:34,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24450,Subscriber,1960,2
4511,21/09/2015 17:30,21/09/2015 18:45,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,24499,Customer,,0
422,21/09/2015 17:30,21/09/2015 17:37,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24713,Subscriber,1981,1
631,21/09/2015 17:31,21/09/2015 17:41,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,24482,Customer,,0
153,21/09/2015 17:32,21/09/2015 17:35,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24717,Subscriber,1982,1
